2020-10-21 21:32:42,930 :INFO : Test_Api.Api_test :200
2020-10-21 21:46:19,297 :INFO : Test_Api.Api_test :200
2020-10-21 21:46:19,297 :INFO : Test_Api.Api_test :100
2020-10-21 21:46:23,128 :INFO : Test_Api.Api_test :200
2020-10-21 21:46:23,128 :INFO : Test_Api.Api_test :200
2020-10-21 21:46:23,128 :INFO : Test_Api.Api_test :200
2020-10-21 21:46:23,128 :INFO : Test_Api.Api_test :200
2020-10-21 23:10:42,776 :INFO : Test_Api.Api_test :('GET status code :', 200)
2020-10-21 23:10:42,791 :INFO : Test_Api.Api_test :('API returns records:', 100)
2020-10-21 23:10:43,041 :INFO : Test_Api.Api_test :('Status code : ', 200)
2020-10-21 23:10:43,041 :INFO : Test_Api.Api_test :('Given JSON string is Valid', True)
2020-10-21 23:10:43,290 :INFO : Test_Api.Api_test :('status code : ', 404)
2020-10-21 23:10:43,290 :INFO : Test_Api.Api_test :('Given JSON string is Valid', True)
2020-10-21 23:10:44,071 :INFO : Test_Api.Api_test :('Verify POST status:', 201)
2020-10-21 23:10:44,071 :INFO : Test_Api.Api_test :('Verify POST status:', 201)
2020-10-21 23:10:44,071 :INFO : Test_Api.Api_test :('Given JSON string is Valid', True)
2020-10-21 23:10:44,071 :INFO : Test_Api.Api_test :('Given JSON string is Valid', True)
2020-10-21 23:10:44,809 :INFO : Test_Api.Api_test :('Verify PUT status:', 200)
2020-10-21 23:10:44,809 :INFO : Test_Api.Api_test :('Verify PUT status:', 200)
2020-10-21 23:10:44,809 :INFO : Test_Api.Api_test :('Verify PUT status:', 200)
2020-10-21 23:10:44,824 :INFO : Test_Api.Api_test :('Given PUT  JSON string is Valid', True)
2020-10-21 23:10:44,824 :INFO : Test_Api.Api_test :('Given PUT  JSON string is Valid', True)
2020-10-21 23:10:44,824 :INFO : Test_Api.Api_test :('Given PUT  JSON string is Valid', True)
2020-10-21 23:10:44,824 :INFO : Test_Api.Api_test :('verify the record created : ', 1)
2020-10-21 23:10:44,824 :INFO : Test_Api.Api_test :('verify the record created : ', 1)
2020-10-21 23:10:44,824 :INFO : Test_Api.Api_test :('verify the record created : ', 1)
2020-10-21 23:10:45,556 :INFO : Test_Api.Api_test :('GET DELETE STATUS CODE:', 200)
2020-10-21 23:10:45,556 :INFO : Test_Api.Api_test :('GET DELETE STATUS CODE:', 200)
2020-10-21 23:10:45,556 :INFO : Test_Api.Api_test :('GET DELETE STATUS CODE:', 200)
2020-10-21 23:10:45,556 :INFO : Test_Api.Api_test :('GET DELETE STATUS CODE:', 200)
